type
a
and
with
the
of
is
head

aroma
to
light
sweet
in
i
some
but
white
this
bottle
beer
very
taste
it
medium
malt
finish
flavor
at
not
on
nice
dark
pours
body
bitter
hops
caramel
that
good
brown
notes
for
as
carbonation
bit
chocolate
citrus
from
color
like
was
dry
orange
malty
amber
clear
golden
fruity
nose
bitterness
malts
little
fruit
an
hazy
has
more
well
coffee
off
small
hop
roasted
thin
slightly
alcohol
black
one
hoppy
quite
its
flavour
lacing
bodied
creamy
tap
yeast
sweetness
palate
nt
smooth
too
really
yellow
mild
much
no
sour
my
pale
fruits
mouthfeel
just
there
tan
pour
full
floral
great
moderate
colour
big
pine
by
than
spicy
soft
pretty
all
strong
slight
be
are
vanilla
decent
red
ale
flavors
had
grapefruit
lemon
touch
overall
up
deep
me
you
thick
have
hint
poured
balanced
cloudy
lightly
average
out
lots
can
aftertaste
tart
almost
gold
hints
beige
toffee
so
spice
honey
long
bread
wheat
br
earthy
grassy
glass
ipa
sugar
aromas
or
rich
would
brew
bad
oz
thanks
also
fresh
texture
grass
copper
tastes
heavy
crisp
lasting
herbal
still
style
drink
into
watery
roast
banana
low
s
spices
draft
do
character
drinkable
frothy
clean
oak
better
which
if
yeasty
apple
mouth
refreshing
what
smell
balance
wood
fairly
toasted
grain
cask
12
mostly
easy
stout
though
bready
smells
grainy
appearance
solid
feel
de
oily
roasty
m
does
ok
rather
first
bourbon
tropical
belgian
way
beers
end
tasting
interesting
again
lot
pleasant
cherry
complex
tasty
after
straw
other
en
get
could
foamy
note
over
nothing
faint
best
foam
fine
through
quickly
then
lingering
smoke
high
about
lager
same
brewery
wine
somewhat
even
huge
burnt
finishes
cocoa
here
sticky
large
draught
maybe
via
only
fizzy
shared
lace
down
nutty
reddish
hay
bottled
w
licorice
citrusy
back
did
enough
got
leaves
subtle
they
drinking
buddy
time
dried
pepper
nicely
think
when
ve
045045rated
moderately
stuff
enjoyable
peach
flavours
iphone
molasses
acidic
funk
any
bright
something
retention
most
coloured
abv
ml
short
excellent
colored
top
front
sized
grains
peel
similar
kind
berries
old
piney
sourness
definitely
resin
carbonated
weak
while
un
amount
finger
lively
ruby
nuts
warming
green
home
metallic
funky
raisins
around
expected
along
clove
candy
woody
cherries
porter
side
sure
cream
seems
pineapple
apples
fruitiness
yet
opaque
minimal
cinnamon
rye
corn
try
sweetish
biscuit
une
another
going
tongue
comes
presence
mango
being
d
brewpub
citric
cl
tartness
herbs
actually
fluffy
coriander
starts
murky
before
barrel
sharp
et
less
lovely
med
peppery
sampled
your
apricot
semi
will
toast
bubbles
la
sample
mildly
looks
boozy
juicy
juice
right
were
background
rating
milk
dense
say
without
bite
tasted
many
few
bubbly
present
toasty
super
day
love
courtesy
earth
pint
been
duration
make
maltiness
pumpkin
their
nbsp
probably
flat
barley
plenty
typical
sugary
american
raisin
come
delicious
makes
22
raspberry
ginger
how
mix
left
brett
cereal
thing
real
ca
zest
lighter
ring
festival
syrup
esters
profile
made
grape
alcoholic
soapy
smoked
booze
perhaps
beautiful
different
acidity
summer
go
base
far
intense
syrupy
imperial
tangy
looking
fair
enjoyed
tones
session
hot
two
ever
special
these
hard
mellow
complexity
berry
throughout
new
saison
perfect
should
start
because
followed
leaving
lime
hue
pear
know
am
smoky
see
favorite
tiny
ripe
mid
dusty
version
hidden
avec
quality
simple
slick
overly
surprisingly
astringent
bomber
warm
water
3
tea
now
hoppiness
done
y
find
flowers
goes
bland
served
500ml
vinous
grapes
middle
boring
liquorice
vinegar
330ml
extremely
wet
else
near
warms
lingers
odd
both
never
est
fades
2
last
forward
plum
between
resinous
33cl
initial
certainly
tried
dough
plus
backbone
coming
pink
wonderful
may
lemony
thought
sip
keg
pitch
diminishing
bittersweet
harsh
found
oranges
chewy
worth
tangerine
mahogany
sort
strange
away
na
might
flowery
where
butter
weird
blonde
english
reminds
og
bar
wheaty
awesome
cider
spiciness
e
musty
dissipates
although
mixed
aged
smokey
half
hopped
liked
10
amazing
biscuity
non
nearly
expect
however
noticeable
maple
pilsner
spiced
salty
2015
slowly
dryness
level
cold
whiskey
unique
4
och
towards
ends
cloying
leather
bouche
look
years
cola
brownish
pils
barnyard
gets
bought
lactic
2014
standard
want
resiny
bier
o
scent
t
take
rate
l
okay
trs
espresso
follows
anything
whole
gentle
plums
buttery
fan
le
mocha
enjoy
behind
5
coconut
re
2016
either
piwo
give
label
cardboard
least
jest
z
highly
especially
tad
nutmeg
bb
1
bubblegum
type
melon
dominated
feels
fantastic
cloves
wow
growler
place
750ml
dank
33
blend
sweeter
2013
loads
those
cap
initially
earthiness
crystal
rind
guess
close
such
shows
und
under
unclear
must
stone
6
smaku
edges
rated
them
tobacco
warmth
nie
2012
tons
year
getting
expecting
together
con
round
acid
sourish
batch
smak
bardzo
darker
winter
piana
pub
heat
vintage
drank
night
leading
london
classic
german
2011
strawberry
why
blond
date
we
hazed
damn
offwhite
peat
fast
750
av
bire
butterscotch
ales
qui
50
part
dull
ipas
peaches
used
lasts
au
otherwise
buy
doughy
rounded
haze
rocky
subdued
tulip
gives
quick
who
brewed
dirty
liquid
kinda
candied
7
things
above
regular
seem
artificial
kick
raspberries
silky
trade
film
once
burn
edge
lacking
skum
finale
mit
example
house
roastiness
everything
work
craft
overpowering
modest
completely
firm
8
world
figs
caramelly
bien
2010
drinkability
sugars
touches
massive
oaky
der
zesty
every
nut
aromatic
nez
room
unpleasant
drying
point
mineral
milky
brewing
khaki
snifter
goryczka
upfront
put
let
layer
finishing
que
stale
p
trying
name
mais
cheap
offering
since
topped
fest
bottles
500
hit
purchased
said
impressive
ill
carb
mousse
during
cake
met
aromat
flavorful
ounce
bananas
lacks
pie
metal
port
conditioned
distinct
ish
ending
brings
linger
prunes
use
leafy
bottom
tripel
lite
salt
experience
easily
st
christmas
picked
leicht
always
times
rum
double
local
relatively
fully
delicate
plastic
poor
price
cheese
depth
spotty
stable
anise
sur
chestnut
copenhagen
others
sharing
skunky
ash
wish
heavily
bold
si281
pack
sparkling
tall
mainly
score
works
perfectly
passion
lambic
next
16
age
chalky
mint
despite
pas
having
whisky
effervescence
soy
added
dates
prefer
wild
second
peu
dominate
chocolatey
perfume
medicinal
spruce
robust
cool
disappointing
highlights
stouts
lger
feeling
fading
straight
barely
surprised
lgrement
final
tight
need
033
original
late
liquor
adds
keep
stronger
lemons
absolutely
oatmeal
soap
three
needs
bock
combination
apricots
transparent
apa
2009
making
brews
dipa
came
oh
seemed
b
nuttiness
cellar
man
true
330
pleasantly
il
blueberry
di
due
market
becomes
cracker
astringency
couleur
die
sauce
rough
du
dominant
glad
overwhelming
total
een
across
pilsener
sediment
05
des
settles
orangey
2008
muted
muddy
pure
hefe
11
vegetables
soda
biscuits
som
wit
diacetyl
went
strength
indeed
impression
stays
carmel
bubble
yellowish
prominent
fact
ist
qualities
elements
van
mind
pronounced
50cl
exactly
barleywine
unfortunately
inch
drinks
itself
impressed
pick
couple
estery
hits
vegetal
evident
disappears
showing
says
meh
15
add
scotch
us
noble
later
underlying
totally
trace
needles
den
residual
extra
size
higher
powerful
wrong
surprise
people
finished
prickly
remember
peachy
045045
outstanding
beer033
41
food
minerals
se
usual
gbbf
una
chili
store
brandy
lekko
takes
brought
pungent
believe
laces
west
hell
dominates
compared
undertones
plain
men
underneath
par
cookie
candi
course
9
herb
er
raw
tang
sehr
each
gum
characteristics
2007
powder
apparent
dose
moyen
sessionable
lived
velvety
particularly
lagers
yes
beans
bouteille
