name	style
bells special double cream stout	stout
lion stout	foreign stout
southern tier pumking	spiceherbvegetable
flying dog raging bitch belgian style ipa	india pale ale 40ipa41
goose island matilda	belgian ale
murphys irish stout	dry stout
sierra nevada harvest wet hop ipa  northern hemisphere	india pale ale 40ipa41
new belgium 1554 enlightened black lager	black lager
founders backwoods bastard	scotch ale
fosters lager	lager
cantillon gueuze classic/organic/bio	'lambic style gueuze
maredsous 8 brune bruin	abbey dubbel
flying dog snake dog ipa 2008	india pale ale 40ipa41
anderson valley barney flats oatmeal stout	stout
maredsous 10 tripel	abbey tripel
rolling rock extra pale	lager
samuel adams black lager	black lager
morland old speckled hen &filtered&	ESB
samuel adams cherry wheat	fruit beer
guinness extra stout &north america&	dry stout
franziskaner hefe weissbier dunkel	dunkelweizen
oskar blues gknight imperial red	american strong ale 
smuttynose ipa	india pale ale 40ipa41
victory hop wallop	imperial ipa
shiner bock	amber lagervienna
brooklyn brown ale	brown ale
piraat	belgian strong ale
avery ipa	india pale ale 40ipa41
weihenstephaner vitus	weizen bock
three floyds dark lord russian imperial stout	imperial stout
harp lager	lager
dogfish head chicory stout	stout
stone cali belgique ipa &cali belgie&	india pale ale 40ipa41
firestone walker union jack ipa	india pale ale 40ipa41
great lakes edmund fitzgerald porter	porter
hair of the dog adam	traditional ale
new holland dragons milk	imperial stout
mikkeller beer geek brunch weasel	imperial stout
sierra nevada hoptimum	imperial ipa
dos equis xx ambar &amber&	amber lagervienna
gouden carolus cuvee van de keizer blauw	belgian strong ale
north coast red seal ale	american pale ale
fullers 1845	english strong ale
founders curmudgeon old ale	old ale
lagunitas brown shugga	barley wine
erdinger dunkel	dunkelweizen
asahi super dry	lager
alaskan smoked porter	smoked
flying dog double dog double pale ale	american strong ale 
samuel adams boston ale	amber ale
brewdog 5 am saint	amber ale
founders devil dancer triple ipa	imperial ipa
harviestoun old engine oil &bottle&	porter
birra moretti	lager
ballast point big eye ipa	india pale ale 40ipa41
singha	premium lager
nogne o imperial stout	imperial stout
cigar city jai alai india pale ale	india pale ale 40ipa41
stone levitation ale	amber ale
great divide hibernation ale	old ale
dupont avec les bons voeux	abbey tripel
boulevard smokestack series: tank 7 farmhouse ale	saison
3 fonteinen oude geuze	'lambic style gueuze
lindemans gueuze cuvee rene	'lambic style gueuze
firestone walker double jack ipa	imperial ipa
sapporo draft beer  premium beer	lager
north coast brother thelonious	belgian strong ale
stone pale ale	american pale ale
rogue santas private reserve	amber ale
lagunitas a little sumpin sumpin ale	india pale ale 40ipa41
corsendonk pater  abbey brown ale	abbey dubbel
lagunitas cappuccino stout	imperial stout
ayinger brau weisse	german hefeweizen
samuel smiths winter welcome ale	english strong ale
schneider weisse tap 5 meine hopfen weisse	weizen bock
de dolle stille nacht	belgian strong ale
rodenbach	sour brown
la trappe dubbel	abbey dubbel
brewdog hardcore ipa &92&	imperial ipa
weihenstephaner hefeweissbier dunkel	dunkelweizen
grimbergen cuvee ambree  double &dubbel&	abbey dubbel
sierra nevada kellerweis hefeweizen	german hefeweizen
stone enjoy by ipa	imperial ipa
three floyds gumballhead	wheat ale
weihenstephaner korbinian	doppelbock
unibroue don de dieu	belgian strong ale
allagash white	witbier
new belgium ranger ipa	india pale ale 40ipa41
kronenbourg 1664	lager
kirin ichiban	lager
dogfish head festina peche	berliner weisse
goose island 312 urban wheat ale	wheat ale
southern tier blackwater series: choklat	imperial stout
redhook esb	ESB
samuel adams cream stout	sweet stout
victory old horizontal	barley wine
lindemans kriek	lambic style fruit
samuel smiths india ale	ESB
founders double trouble ipa	imperial ipa
founders reds rye ipa	india pale ale 40ipa41
deschutes the abyss	imperial stout
unibroue blanche de chambly	witbier
southern tier blackwater series: creme brulee stout	imperial stout
lindemans faro	'lambic style faro
la trappe tripel	abbey tripel
troegs nugget nectar ale	india pale ale 40ipa41
affligem blonde	belgian ale
weyerbacher double simcoe ipa	imperial ipa
harpoon ipa	india pale ale 40ipa41
aecht schlenkerla rauchbier urbock	smoked
dogfish head immort ale	barley wine
lagunitas sucks	american strong ale 
southern tier unearthly	imperial ipa
hacker pschorr hefe weisse	german hefeweizen
north coast pranqster	belgian strong ale
struise black albert	imperial stout
new belgium la folie	sour brown
third coast old ale	barley wine
orkney skull splitter &bottle&	scotch ale
avery hog heaven	barley wine
ommegang rare vos	belgian ale
cantillon rose de gambrinus	lambic style fruit
mc chouffe	belgian strong ale
delirium noel	belgian strong ale
labatt blue	lager
st peters cream stout	stout
bells java stout	stout
redhook long hammer ipa	american pale ale
brooklyn monster ale	barley wine
unibroue la terrible	abtquadrupel
three floyds robert the bruce	scottish ale
lagunitas undercover investigation shut down ale	american strong ale 
abita turbodog	brown ale
sierra nevada ruthless rye ipa	india pale ale 40ipa41
carlsberg pilsner	pilsener
st bernardus pater 6	abbey dubbel
bells porter	porter
green flash double stout	imperial stout
cantillon kriek	lambic style fruit
unibroue ephemere apple	fruit beer
deschutes mirror pond pale ale	american pale ale
abbaye des rocs brune	belgian strong ale
alchemist heady topper	imperial ipa
sierra nevada harvest fresh hop ipa  southern hemisphere	india pale ale 40ipa41
flying dog horn dog barley wine	barley wine
tiger beer	lager
nice chouffe	belgian strong ale
liefmans goudenband	sour brown
new glarus wisconsin belgian red	fruit beer
hoppin frog boris the crusher	imperial stout
bear republic big bear black stout	imperial stout
dos equis xx special lager	lager
st ambroise oatmeal stout	stout
bells cherry stout	stout
de dolle oerbier	belgian strong ale
weihenstephaner kristallweissbier	german kristallweizen
rogue american amber ale	amber ale
kona fire rock pale ale	american pale ale
founders pale ale	american pale ale
